artist,title,peak,weeks,type
SZA X Justin Timberlake,The Other Side,31,7,collaborated
DaBaby Featuring Quavo,PICK UP,19,1,collaborated
DaBaby Featuring Future & jetsonmade,LIGHTSKIN SH*T,21,1,collaborated
Russ & BIA,BEST ON EARTH,20,22,collaborated
YNW Melly & Juice WRLD,Suicidal,11,21,collaborated
DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track,DROP,32,1,collaborated
"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,32,6,collaborated
H.E.R. Featuring YG,Slide,16,23,collaborated
YoungBoy Never Broke Again Featuring Sherhonda Gaulden,Bout My Business,42,1,collaborated
DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,20,2,collaborated
"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",PTSD,19,6,collaborated
YoungBoy Never Broke Again Featuring DaBaby,Thug Of Spades,49,1,collaborated
Lil Baby & Gunna,Heatin Up,10,8,collaborated
Summer Walker & Usher,Come Thru,23,20,collaborated
Kehlani Featuring Tory Lanez,Can I,20,1,collaborated
Lil Tjay Featuring Fivio Foreign & Pop Smoke,Zoo York,28,1,collaborated
"Future, Drake & Young Thug",D4L,12,2,collaborated
Kehlani Featuring Jhene Aiko,Change Your Life,37,1,collaborated
Drake Featuring Future,Desires,15,2,collaborated
Drake Featuring Fivio Foreign & Sosa Geek,Demons,20,2,collaborated
NAV Featuring Lil Uzi Vert,Status,47,1,collaborated
Drake Featuring Chris Brown,Not You Too,14,2,collaborated
Future Featuring Lil Uzi Vert,All Bad,21,1,collaborated
Future Featuring Young Thug,Harlem Shake,42,1,collaborated
Drake Featuring Playboi Carti,Pain 1993,6,3,collaborated
Gunna Featuring Travis Scott,Top Floor,22,1,collaborated
Gunna Featuring Lil Baby,Blindfold,26,1,collaborated
Polo G Featuring Lil Baby,Be Something,23,2,collaborated
Eminem Featuring Juice WRLD,Godzilla,3,20,collaborated
"Lil Yachty & Tierra Whack Featuring A$AP Rocky & Tyler, The Creator",T.D,34,1,collaborated
Roddy Ricch Featuring Mustard,High Fashion,12,26,collaborated
JACKBOYS Featuring Young Thug,Out West,15,22,collaborated
Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,29,8,collaborated
DaBaby Featuring YoungBoy Never Broke Again,Jump,9,6,collaborated
Future Featuring Travis Scott,Solitaires,15,4,collaborated
"NAV, Gunna & Travis Scott",Turks,9,12,collaborated
Future Featuring YoungBoy Never Broke Again,Trillionaire,16,5,collaborated
Gunna Featuring Roddy Ricch,Cooler Than A Bitch,16,4,collaborated
YoungBoy Never Broke Again Featuring Lil Baby,One Shot,43,1,collaborated
6LACK Featuring Lil Baby,Know My Rights,33,1,collaborated
Lil Baby & 42 Dugg,Grace,23,13,collaborated
PARTYNEXTDOOR & Rihanna,Believe It,12,14,collaborated
Tyla Yaweh & Post Malone,Tommy Lee,30,3,collaborated
BeatKing Featuring Queendome Come,Then Leave,48,1,collaborated
Moneybagg Yo Featuring Blac Youngsta,1 2 3,43,5,collaborated
Future Featuring Drake,Life Is Good,2,26,collaborated
Pop Smoke Featuring Rowdy Rebel,Make It Rain,21,3,collaborated
Pop Smoke Featuring Quavo & Future,Snitchin,30,1,collaborated
Pop Smoke Featuring Swae Lee,Creature,33,1,collaborated
Pop Smoke Featuring Tyga & Quavo,West Coast Shit,37,1,collaborated
Kanye West Featuring Travis Scott,Wash Us In The Blood,20,2,collaborated
Pop Smoke Featuring King Combs,Diana,42,1,collaborated
6ix9ine & Nicki Minaj,Trollz,1,4,collaborated
Kid Cudi & Eminem,The Adventures Of Moon Man & Slim Shady,15,1,collaborated
Summer Walker & PARTYNEXTDOOR,My Affection,45,1,collaborated
Pop Smoke Featuring Quavo,Aim For The Moon,16,2,collaborated
Juice WRLD & Trippie Redd,Tell Me U Luv Me,15,4,collaborated
Pop Smoke Featuring Karol G,Enjoy Yourself,32,2,collaborated
Gunna Featuring Future,Street Sweeper,43,1,collaborated
Gunna Featuring Lil Uzi Vert,Relentless,44,1,collaborated
Justin Bieber Featuring Quavo,Intentions,4,26,collaborated
Lil Uzi Vert & Future,Over Your Head,41,1,collaborated
Lil Uzi Vert & Future,Patek,43,1,collaborated
"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,1,15,collaborated
NLE Choppa Featuring Lil Baby,Narrow Road,46,1,collaborated
NLE Choppa Featuring Roddy Ricch,Walk Em Down,16,20,collaborated
A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,Move Ya Hips,8,2,collaborated
Young T & Bugsey Featuring Headie One,Don't Rush,24,15,collaborated
Juice WRLD X Halsey,Life's A Mess,7,7,collaborated
Drake Featuring Giveon,Chicago Freestyle,11,16,collaborated
iann dior Featuring Lil Baby,Prospect,50,1,collaborated
Nas Featuring Fivio Foreign & A$AP Ferg,Spicy,36,1,collaborated
Ty Dolla $ign Featuring Nicki Minaj,Expensive,27,1,collaborated
Cordae Featuring Roddy Ricch,Gifted,37,1,collaborated
Big Sean Featuring Travis Scott,Lithuania,26,1,collaborated
Big Sean Featuring Nipsey Hussle,Deep Reverence,31,2,collaborated
Big Sean Featuring Ty Dolla $ign & Jhene Aiko,Body Language,35,1,collaborated
SAINt JHN Featuring Future,Roses,36,6,collaborated
Internet Money Featuring Juice WRLD & Trippie Redd,Blastoff,26,2,collaborated
YoungBoy Never Broke Again Featuring Snoop Dogg,Callin,42,2,collaborated
Lil Tecca & Lil Uzi Vert,Dolly,26,1,collaborated
Lil Tecca & Polo G Featuring Lil Durk,When You Down,32,1,collaborated
Moneybagg Yo Featuring Ari,Braindead,41,1,collaborated
Lil Baby & 42 Dugg,We Paid,8,22,collaborated
YoungBoy Never Broke Again Featuring Lil Wayne,My Window,14,3,collaborated
City Girls Featuring Doja Cat,Pussy Talk,44,1,collaborated
Migos Featuring YoungBoy Never Broke Again,Need It,27,19,collaborated
Polo G Featuring Juice WRLD,Flex,14,15,collaborated
Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,Hate The Other Side,8,9,collaborated
21 Savage & Metro Boomin,Brand New Draco,26,1,collaborated
21 Savage & Metro Boomin Featuring Young Nudy,Snitches & Rats,28,1,collaborated
21 Savage & Metro Boomin,No Opp Left Behind,30,1,collaborated
21 Savage & Metro Boomin,Steppin On N*ggas,31,1,collaborated
21 Savage & Metro Boomin,RIP Luv,32,1,collaborated
21 Savage & Metro Boomin,Said N Done,39,1,collaborated
21 Savage & Metro Boomin,Slidin,15,2,collaborated
21 Savage & Metro Boomin,Many Men,16,2,collaborated
Bryson Tiller Featuring Drake,Outta Time,22,2,collaborated
21 Savage & Metro Boomin,My Dawg,25,2,collaborated
Pop Smoke Featuring A Boogie Wit da Hoodie,Hello,43,3,collaborated
G-Eazy Featuring blackbear,Hate The Way,28,1,collaborated
T.I. Featuring Lil Baby,Pardon,40,1,collaborated
Gunna Featuring Young Thug,Dollaz On My Head,15,20,collaborated
Doja Cat Featuring Gucci Mane,Like That,18,20,collaborated
21 Savage & Metro Boomin Featuring Young Thug,Rich N*gga Sh*t,13,3,collaborated
Young Dolph Featuring Megan Thee Stallion,RNB,38,6,collaborated
21 Savage & Metro Boomin,Glock In My Lap,11,4,collaborated
Big Sean Featuring Post Malone,Wolves,24,7,collaborated
"Lil Durk, 6LACK & Young Thug",Stay Down,31,1,collaborated
Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas,12,4,collaborated
Ty Dolla $ign Featuring Post Malone,Spicy,18,2,collaborated
DJ Khaled Featuring Drake,Greece,6,16,collaborated
Trippie Redd & PARTYNEXTDOOR,Excitement!,39,2,collaborated
Trippie Redd Featuring Future,Never Change,41,1,collaborated
Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,15,20,collaborated
Yung Bleu Featuring Drake,You're Mines Still,20,3,collaborated
Chloe X Halle,Do It,23,16,collaborated
Busta Rhymes Featuring Kendrick Lamar,Look Over Your Shoulder,48,1,collaborated
Drake Featuring Lil Durk,Laugh Now Cry Later,1,13,collaborated
Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,3,13,collaborated
Pop Smoke Featuring Lil Baby & DaBaby,For The Night,4,19,collaborated
Cardi B Featuring Megan Thee Stallion,WAP,1,14,collaborated
Chris Brown & Young Thug,Go Crazy,4,27,collaborated
DaBaby Featuring Roddy Ricch,Rockstar,1,30,collaborated
"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,2,40,collaborated
"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again",What That Speed Bout!?,11,1,collaborated
Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,9,19,collaborated
Rod Wave Featuring ATR Son Son,Rags2Riches,7,20,collaborated
21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,6,6,collaborated
Pop Smoke Featuring Lil Tjay,Mood Swings,8,19,collaborated
Travis Scott Featuring Young Thug & M.I.A.,Franchise,1,7,collaborated
Jhene Aiko Featuring H.E.R.,B.S.,15,20,collaborated
DJ Khaled Featuring Drake,Popstar,3,17,collaborated
NAV Featuring Lil Baby,Don't Need Friends,21,1,collaborated
King Von Featuring Polo G,The Code,22,1,collaborated
Money Man Featuring Lil Baby,24,17,13,collaborated
Ne-Yo & Jeremih,U 2 Luv,20,8,collaborated
SZA Featuring Ty Dolla $ign,Hit Different,12,10,collaborated
Megan Thee Stallion Featuring Young Thug,Don't Stop,14,6,collaborated
The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money,Tragic,30,1,collaborated
King Von Featuring Lil Durk,All These N**gas,31,1,collaborated
King Von Featuring Lil Durk,Crazy Story 2.0,32,1,collaborated
21 Savage & Metro Boomin,Runnin,5,6,collaborated
DaBaby Featuring Young Thug,Blind,30,10,collaborated
The Kid LAROI Featuring Machine Gun Kelly,"F*ck You, Goodbye",41,1,collaborated
DJ Chose Featuring BeatKing,Thick,33,2,collaborated
Kid LAROI & Juice WRLD,Go!,22,9,collaborated
Saweetie Featuring Jhene Aiko,Back To The Streets,29,3,collaborated
Mulatto Featuring Gucci Mane,Muwop,40,6,collaborated
Juice WRLD & The Weeknd,Smile,5,14,collaborated
